file_id,error
TRAIN_00335,0.014466894
TRAIN_00336,0.002487009
TRAIN_00337,0.013244826
TRAIN_00338,0.014543303
TRAIN_00339,0.0140469335
TRAIN_00340,0.0024330642
TRAIN_00341,0.0014393979
TRAIN_00342,0.017238803
TRAIN_00343,0.005211282
TRAIN_00344,0.013709237
TRAIN_00345,0.004399878
TRAIN_00346,0.012913982
TRAIN_00347,0.003741307
TRAIN_00348,0.019881625
TRAIN_00349,0.013740247
TRAIN_00350,0.011707583
TRAIN_00351,0.07139044
TRAIN_00352,0.014654436
TRAIN_00353,0.004924331
TRAIN_00354,0.0038684993
TRAIN_00355,0.01205821
TRAIN_00356,0.004310821
TRAIN_00357,0.044071477
TRAIN_00358,0.06448316
TRAIN_00359,0.0059859036
TRAIN_00360,0.013516398
TRAIN_00361,0.019612418
TRAIN_00362,0.0077929567
TRAIN_00363,0.013504511
TRAIN_00364,0.015107431
TRAIN_00365,0.0047747144
TRAIN_00366,0.014339974
TRAIN_00367,0.012361503
TRAIN_00368,0.0034925973
TRAIN_00369,0.072724886
TRAIN_00370,0.015584625
TRAIN_00371,0.0058960333
TRAIN_00372,0.00046558966
TRAIN_00373,0.0019322288
TRAIN_00374,0.011872275
TRAIN_00375,0.0017568001
TRAIN_00376,0.0049336995
TRAIN_00377,0.012934645
TRAIN_00378,0.009466285
TRAIN_00379,0.014004397
TRAIN_00380,0.006894739
TRAIN_00381,0.0039781085
TRAIN_00382,0.02017251
TRAIN_00383,0.00697273
TRAIN_00384,0.014231598
TRAIN_00385,0.0034423098
TRAIN_00386,0.0126867425
TRAIN_00387,0.0022547622
TRAIN_00388,0.016554678
TRAIN_00389,0.0016588765
TRAIN_00390,0.007755788
TRAIN_00391,0.0017334381
TRAIN_00392,0.003993251
TRAIN_00393,0.08735266
TRAIN_00394,0.010727337
TRAIN_00395,0.008916596
TRAIN_00396,0.011268463
TRAIN_00397,0.015948405
TRAIN_00398,0.0031957834
TRAIN_00399,0.0022172804
TRAIN_00400,0.0062795575
TRAIN_00401,0.0078402655
TRAIN_00402,0.0034114458
TRAIN_00403,0.012552268
TRAIN_00404,0.0035053007
TRAIN_00405,0.0064160055
TRAIN_00406,0.011454225
TRAIN_00407,0.014253167
TRAIN_00408,0.006940539
TRAIN_00409,0.004743063
TRAIN_00410,0.08453505
TRAIN_00411,0.010858054
TRAIN_00412,0.0074382527
TRAIN_00413,0.049009163
TRAIN_00414,0.018534731
TRAIN_00415,0.016748099
TRAIN_00416,0.0053333286
TRAIN_00417,0.0067068506
TRAIN_00418,0.0045319083
TRAIN_00419,0.09826865
TRAIN_00420,0.0070987325
TRAIN_00421,0.01098588
TRAIN_00422,0.001118214
TRAIN_00423,0.020078776
TRAIN_00424,0.005811657
TRAIN_00425,0.0027333624
TRAIN_00426,0.013891395
TRAIN_00427,0.003408127
TRAIN_00428,0.0037918054
TRAIN_00429,0.013002135
TRAIN_00430,0.008164232
TRAIN_00431,0.003826381
TRAIN_00432,0.012640801
